accuracy,precision_BAD_1,recall_BAD_1,f1_BAD_1,roc_auc,average_precision,false_positives,false_negatives,true_positives,true_negatives,threshold
0.9204218600191755,0.8048780487804879,0.7932692307692307,0.7990314769975787,0.9570848687240903,0.8846209402258454,160,172,660,3180,0.185
0.9204218600191755,0.8056234718826406,0.7920673076923077,0.7987878787878788,0.9570848687240903,0.8846209402258454,159,173,659,3181,0.19
0.9216203259827421,0.8105781057810578,0.7920673076923077,0.8012158054711246,0.9570848687240903,0.8846209402258454,154,173,659,3186,0.195
0.9216203259827421,0.8113440197287299,0.7908653846153846,0.8009738283627511,0.9570848687240903,0.8846209402258454,153,174,658,3187,0.2
0.9211409395973155,0.8116480793060719,0.7872596153846154,0.799267846247712,0.9570848687240903,0.8846209402258454,152,177,655,3188,0.205
0.9209012464046021,0.8114143920595533,0.7860576923076923,0.7985347985347986,0.9570848687240903,0.8846209402258454,152,178,654,3188,0.21
0.9206615532118888,0.8119551681195517,0.7836538461538461,0.7975535168195719,0.9570848687240903,0.8846209402258454,151,180,652,3189,0.215
0.9206615532118888,0.8143036386449184,0.7800480769230769,0.7968078575813382,0.9570848687240903,0.8846209402258454,148,183,649,3192,0.22
0.9206615532118888,0.8150943396226416,0.7788461538461539,0.7965580823601721,0.9570848687240903,0.8846209402258454,147,184,648,3193,0.225
0.9206615532118888,0.8150943396226416,0.7788461538461539,0.7965580823601721,0.9570848687240903,0.8846209402258454,147,184,648,3193,0.23
0.9211409395973155,0.8179519595448799,0.7776442307692307,0.7972889710412816,0.9570848687240903,0.8846209402258454,144,185,647,3196,0.235
0.9213806327900288,0.8197969543147208,0.7764423076923077,0.7975308641975308,0.9570848687240903,0.8846209402258454,142,186,646,3198,0.24
0.9209012464046021,0.8193384223918575,0.7740384615384616,0.796044499381953,0.9570848687240903,0.8846209402258454,142,188,644,3198,0.245
0.9211409395973155,0.8203821656050956,0.7740384615384616,0.7965367965367965,0.9570848687240903,0.8846209402258454,141,188,644,3199,0.25
0.9213806327900288,0.8247422680412371,0.7692307692307693,0.7960199004975125,0.9570848687240903,0.8846209402258454,136,192,640,3204,0.255
0.9209012464046021,0.8251295336787565,0.765625,0.7942643391521197,0.9570848687240903,0.8846209402258454,135,195,637,3205,0.26
0.9206615532118888,0.8249027237354085,0.7644230769230769,0.793512164691204,0.9570848687240903,0.8846209402258454,135,196,636,3205,0.265
0.9204218600191755,0.8246753246753247,0.7632211538461539,0.7927590511860175,0.9570848687240903,0.8846209402258454,135,197,635,3205,0.27
0.9201821668264621,0.8244473342002601,0.7620192307692307,0.7920049968769519,0.9570848687240903,0.8846209402258454,135,198,634,3205,0.275
0.9199424736337488,0.825065274151436,0.7596153846153846,0.7909887359198998,0.9570848687240903,0.8846209402258454,134,200,632,3206,0.28
0.9199424736337488,0.8259162303664922,0.7584134615384616,0.7907268170426065,0.9570848687240903,0.8846209402258454,133,201,631,3207,0.285
0.9197027804410355,0.8256880733944955,0.7572115384615384,0.7899686520376176,0.9570848687240903,0.8846209402258454,133,202,630,3207,0.29
