model,threshold_type,threshold,recovery_rate,interest_rate,accuracy,precision_BAD_1,recall_BAD_1,f1_BAD_1,roc_auc,true_negatives,false_positives,false_negatives,true_positives,false_negative_loss,false_positive_loss,total_expected_loss,average_expected_loss,loss_given_default,false_negative_loan_value,false_positive_loan_value
Gradient Boosting,threshold_grid,0.1,0.4,0.04,0.9177852348993288,0.772020725388601,0.834733893557423,0.8021534320323015,0.9632800709382285,1343,88,59,298,743280.0,58852.0,802132.0,448.61968680089484,0.6,1238800.0,1471300.0
Gradient Boosting,threshold_grid,0.11,0.4,0.04,0.9205816554809844,0.7821522309711286,0.834733893557423,0.8075880758807588,0.9632800709382285,1348,83,59,298,743280.0,54212.0,797492.0,446.02460850111856,0.6,1238800.0,1355300.0
Gradient Boosting,threshold_grid,0.12,0.4,0.04,0.9217002237136466,0.7862796833773087,0.834733893557423,0.8097826086956522,0.9632800709382285,1350,81,59,298,743280.0,53348.0,796628.0,445.5413870246085,0.6,1238800.0,1333700.0
Gradient Boosting,threshold_grid,0.13,0.4,0.04,0.9205816554809844,0.7882037533512064,0.8235294117647058,0.8054794520547945,0.9632800709382285,1352,79,63,294,777900.0,52564.0,830464.0,464.4653243847875,0.6,1296500.0,1314100.0
Gradient Boosting,threshold_grid,0.14,0.4,0.04,0.9211409395973155,0.7934782608695652,0.8179271708683473,0.8055172413793104,0.9632800709382285,1355,76,65,292,793500.0,50684.0,844184.0,472.1387024608501,0.6,1322500.0,1267100.0
Gradient Boosting,threshold_grid,0.15,0.4,0.04,0.9217002237136466,0.7956403269754768,0.8179271708683473,0.8066298342541437,0.9632800709382285,1356,75,65,292,793500.0,49488.0,842988.0,471.4697986577181,0.6,1322500.0,1237200.0
Gradient Boosting,threshold_grid,0.16,0.4,0.04,0.9222595078299777,0.7978142076502732,0.8179271708683473,0.8077455048409405,0.9632800709382285,1357,74,65,292,793500.0,48848.0,842348.0,471.11185682326624,0.6,1322500.0,1221200.0
Gradient Boosting,threshold_grid,0.17,0.4,0.04,0.9233780760626398,0.8021978021978022,0.8179271708683473,0.8099861303744799,0.9632800709382285,1359,72,65,292,793500.0,46916.0,840416.0,470.0313199105145,0.6,1322500.0,1172900.0
Gradient Boosting,threshold_grid,0.18,0.4,0.04,0.9228187919463087,0.8033240997229917,0.8123249299719888,0.807799442896936,0.9632800709382285,1360,71,67,290,805560.0,46596.0,852156.0,476.5973154362416,0.6,1342600.0,1164900.0
Gradient Boosting,threshold_grid,0.19,0.4,0.04,0.9222595078299777,0.8044692737430168,0.8067226890756303,0.8055944055944056,0.9632800709382285,1361,70,69,288,824340.0,46284.0,870624.0,486.9261744966443,0.6,1373900.0,1157100.0
Gradient Boosting,threshold_grid,0.2,0.4,0.04,0.9228187919463087,0.8067226890756303,0.8067226890756303,0.8067226890756303,0.9632800709382285,1362,69,69,288,824340.0,45684.0,870024.0,486.59060402684565,0.6,1373900.0,1142100.0
Gradient Boosting,threshold_grid,0.21,0.4,0.04,0.9228187919463087,0.8067226890756303,0.8067226890756303,0.8067226890756303,0.9632800709382285,1362,69,69,288,824340.0,45684.0,870024.0,486.59060402684565,0.6,1373900.0,1142100.0
Gradient Boosting,threshold_grid,0.22,0.4,0.04,0.9222595078299777,0.807909604519774,0.8011204481792717,0.8045007032348804,0.9632800709382285,1363,68,71,286,874620.0,45348.0,919968.0,514.5234899328859,0.6,1457700.0,1133700.0
Gradient Boosting,threshold_grid,0.23,0.4,0.04,0.9222595078299777,0.807909604519774,0.8011204481792717,0.8045007032348804,0.9632800709382285,1363,68,71,286,874620.0,45348.0,919968.0,514.5234899328859,0.6,1457700.0,1133700.0
Gradient Boosting,threshold_grid,0.24,0.4,0.04,0.9222595078299777,0.8096590909090909,0.7983193277310925,0.8039492242595204,0.9632800709382285,1364,67,72,285,878820.0,44628.0,923448.0,516.4697986577181,0.6,1464700.0,1115700.0
Gradient Boosting,threshold_grid,0.25,0.4,0.04,0.9217002237136466,0.8091168091168092,0.7955182072829131,0.8022598870056498,0.9632800709382285,1364,67,73,284,886260.0,44628.0,930888.0,520.6308724832214,0.6,1477100.0,1115700.0
Gradient Boosting,threshold_grid,0.26,0.4,0.04,0.9222595078299777,0.8114285714285714,0.7955182072829131,0.8033946251768034,0.9632800709382285,1365,66,73,284,886260.0,43828.0,930088.0,520.1834451901566,0.6,1477100.0,1095700.0
Gradient Boosting,threshold_grid,0.27,0.4,0.04,0.9222595078299777,0.815028901734104,0.7899159663865546,0.802275960170697,0.9632800709382285,1367,64,75,282,904560.0,42828.0,947388.0,529.8590604026846,0.6,1507600.0,1070700.0
Gradient Boosting,threshold_grid,0.28,0.4,0.04,0.9217002237136466,0.8181818181818182,0.7815126050420168,0.7994269340974212,0.9632800709382285,1369,62,78,279,952980.0,40944.0,993924.0,555.8859060402684,0.6,1588300.0,1023600.0
Gradient Boosting,threshold_grid,0.29,0.4,0.04,0.9205816554809844,0.8189910979228486,0.773109243697479,0.7953890489913544,0.9632800709382285,1370,61,81,276,1001040.0,40424.0,1041464.0,582.4742729306488,0.6,1668400.0,1010600.0
Gradient Boosting,threshold_grid,0.3,0.4,0.04,0.9200223713646533,0.8184523809523809,0.7703081232492998,0.7936507936507936,0.9632800709382285,1370,61,82,275,1020840.0,40424.0,1061264.0,593.5480984340045,0.6,1701400.0,1010600.0
Gradient Boosting,threshold_grid,0.31,0.4,0.04,0.9183445190156599,0.8168168168168168,0.7619047619047619,0.7884057971014493,0.9632800709382285,1370,61,85,272,1061220.0,40424.0,1101644.0,616.1319910514542,0.6,1768700.0,1010600.0
Gradient Boosting,threshold_grid,0.32,0.4,0.04,0.9172259507829977,0.817629179331307,0.7535014005602241,0.7842565597667639,0.9632800709382285,1371,60,88,269,1089420.0,39584.0,1129004.0,631.4340044742729,0.6,1815700.0,989600.0
Gradient Boosting,threshold_grid,0.33,0.4,0.04,0.9161073825503355,0.8165137614678899,0.7478991596638656,0.7807017543859649,0.9632800709382285,1371,60,90,267,1104420.0,39584.0,1144004.0,639.8232662192394,0.6,1840700.0,989600.0
