mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_tree__ccp_alpha,param_tree__class_weight,param_tree__criterion,param_tree__max_depth,param_tree__max_features,param_tree__min_samples_leaf,param_tree__min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.020848464965820313,0.0004998476164587576,0.008442926406860351,0.0006025211272063224,0.001,,entropy,,sqrt,5,25,"{'tree__ccp_alpha': 0.001, 'tree__class_weight': None, 'tree__criterion': 'entropy', 'tree__max_depth': None, 'tree__max_features': 'sqrt', 'tree__min_samples_leaf': 5, 'tree__min_samples_split': 25}",0.8672505288823551,0.8637500448205386,0.904236707308275,0.8928062549599595,0.8583886443979512,0.8772864360738157,0.017934668937069402,28
0.05242338180541992,0.0008534621305759346,0.008121538162231445,0.00022312664331933585,0.001,,gini,,,1,25,"{'tree__ccp_alpha': 0.001, 'tree__class_weight': None, 'tree__criterion': 'gini', 'tree__max_depth': None, 'tree__max_features': None, 'tree__min_samples_leaf': 1, 'tree__min_samples_split': 25}",0.8749193230305855,0.8889571157087024,0.8753562152802827,0.8944159873025035,0.8451094798355095,0.8757516242315168,0.017102827489705784,29
0.02510700225830078,0.01092945711382748,0.008735466003417968,0.0023949927278831542,0.001,,entropy,10,sqrt,10,25,"{'tree__ccp_alpha': 0.001, 'tree__class_weight': None, 'tree__criterion': 'entropy', 'tree__max_depth': 10, 'tree__max_features': 'sqrt', 'tree__min_samples_leaf': 10, 'tree__min_samples_split': 25}",0.8595189859801355,0.844611674853885,0.887756114277469,0.9101480773392974,0.8705675997402784,0.8745204904382129,0.02271437614085616,30
0.01848607063293457,0.0005275283639406398,0.008131837844848633,0.0003162952778615407,0.0,,entropy,10,sqrt,10,25,"{'tree__ccp_alpha': 0.0, 'tree__class_weight': None, 'tree__criterion': 'entropy', 'tree__max_depth': 10, 'tree__max_features': 'sqrt', 'tree__min_samples_leaf': 10, 'tree__min_samples_split': 25}",0.8587704829861237,0.8399727491125535,0.8872060096674121,0.9097422624630258,0.8704729096024817,0.8732328827663194,0.02387969024575487,31
0.03344087600708008,0.0011771503202179332,0.008332204818725587,0.00030683214729510243,0.005,balanced,entropy,5,,10,2,"{'tree__ccp_alpha': 0.005, 'tree__class_weight': 'balanced', 'tree__criterion': 'entropy', 'tree__max_depth': 5, 'tree__max_features': None, 'tree__min_samples_leaf': 10, 'tree__min_samples_split': 2}",0.85872566244756,0.8824715837785506,0.8775385975037875,0.9027351922660702,0.8437297092561864,0.8730401490504309,0.020273085600040163,32
0.03220310211181641,0.0018602738276094588,0.00820469856262207,0.0004099097009355747,0.005,balanced,entropy,5,,10,10,"{'tree__ccp_alpha': 0.005, 'tree__class_weight': 'balanced', 'tree__criterion': 'entropy', 'tree__max_depth': 5, 'tree__max_features': None, 'tree__min_samples_leaf': 10, 'tree__min_samples_split': 10}",0.85872566244756,0.8824715837785506,0.8775385975037875,0.9027351922660702,0.8437297092561864,0.8730401490504309,0.020273085600040163,32
0.03178539276123047,0.0004811455068684168,0.008584356307983399,0.0002096535696965918,0.005,balanced,entropy,5,,10,25,"{'tree__ccp_alpha': 0.005, 'tree__class_weight': 'balanced', 'tree__criterion': 'entropy', 'tree__max_depth': 5, 'tree__max_features': None, 'tree__min_samples_leaf': 10, 'tree__min_samples_split': 25}",0.85872566244756,0.8824715837785506,0.8775385975037875,0.9027351922660702,0.8437297092561864,0.8730401490504309,0.020273085600040163,32
0.03187298774719238,0.0004970996156772869,0.00819101333618164,0.0007553733873790985,0.005,balanced,entropy,5,,1,10,"{'tree__ccp_alpha': 0.005, 'tree__class_weight': 'balanced', 'tree__criterion': 'entropy', 'tree__max_depth': 5, 'tree__max_features': None, 'tree__min_samples_leaf': 1, 'tree__min_samples_split': 10}",0.8583939904621893,0.8845288464986195,0.8770561287064426,0.8993443835221124,0.8437297092561864,0.8726106116891099,0.01955873382095485,35
0.03151392936706543,0.0004357265835835473,0.008223867416381836,5.46929518236504e-05,0.005,balanced,entropy,5,,1,2,"{'tree__ccp_alpha': 0.005, 'tree__class_weight': 'balanced', 'tree__criterion': 'entropy', 'tree__max_depth': 5, 'tree__max_features': None, 'tree__min_samples_leaf': 1, 'tree__min_samples_split': 2}",0.8583939904621893,0.8845288464986195,0.8770561287064426,0.8993443835221124,0.8437297092561864,0.8726106116891099,0.01955873382095485,35
0.031957817077636716,0.0006194444571234853,0.012933158874511718,0.01008135858834773,0.005,balanced,entropy,5,,1,25,"{'tree__ccp_alpha': 0.005, 'tree__class_weight': 'balanced', 'tree__criterion': 'entropy', 'tree__max_depth': 5, 'tree__max_features': None, 'tree__min_samples_leaf': 1, 'tree__min_samples_split': 25}",0.8583939904621893,0.8845288464986195,0.8770561287064426,0.8993443835221124,0.8437297092561864,0.8726106116891099,0.01955873382095485,35
0.04161262512207031,0.015783007099525116,0.009133481979370117,0.0009558513183799781,0.005,balanced,entropy,5,,5,10,"{'tree__ccp_alpha': 0.005, 'tree__class_weight': 'balanced', 'tree__criterion': 'entropy', 'tree__max_depth': 5, 'tree__max_features': None, 'tree__min_samples_leaf': 5, 'tree__min_samples_split': 10}",0.8583939904621893,0.8841030513822654,0.8770561287064426,0.8993443835221124,0.8437297092561864,0.8725254526658393,0.019507516152625904,38
0.031525182723999026,0.00042034853168501337,0.008289194107055664,0.0002300146303202027,0.005,balanced,entropy,5,,5,2,"{'tree__ccp_alpha': 0.005, 'tree__class_weight': 'balanced', 'tree__criterion': 'entropy', 'tree__max_depth': 5, 'tree__max_features': None, 'tree__min_samples_leaf': 5, 'tree__min_samples_split': 2}",0.8583939904621893,0.8841030513822654,0.8770561287064426,0.8993443835221124,0.8437297092561864,0.8725254526658393,0.019507516152625904,38
0.036543846130371094,0.004359969884422621,0.008173418045043946,0.00027784783614001943,0.005,balanced,entropy,5,,5,25,"{'tree__ccp_alpha': 0.005, 'tree__class_weight': 'balanced', 'tree__criterion': 'entropy', 'tree__max_depth': 5, 'tree__max_features': None, 'tree__min_samples_leaf': 5, 'tree__min_samples_split': 25}",0.8583939904621893,0.8841030513822654,0.8770561287064426,0.8993443835221124,0.8437297092561864,0.8725254526658393,0.019507516152625904,38
0.020543289184570313,0.0006249894900818979,0.008158683776855469,0.0005247563570452624,0.001,balanced,entropy,10,sqrt,10,2,"{'tree__ccp_alpha': 0.001, 'tree__class_weight': 'balanced', 'tree__criterion': 'entropy', 'tree__max_depth': 10, 'tree__max_features': 'sqrt', 'tree__min_samples_leaf': 10, 'tree__min_samples_split': 2}",0.8613028434149665,0.8606126071210871,0.887607315489503,0.881114277469158,0.8716001731476806,0.872447443328479,0.010676320152636455,41
